State,Low Income Communities (LICs)
Arizona,04013060904
Arizona,04013061022
Arizona,04013061042
Arizona,04013061100
Arizona,04013061200
Arizona,04013061300
Arizona,04013061401
Arizona,04013061402
Arizona,04013071503
Arizona,04013071504
Arizona,04013071505
Arizona,04013071506
Arizona,04013071516
Arizona,04013071600
Arizona,04013071702
Arizona,04013071801
Arizona,04013071802
Arizona,04013071910
Arizona,04013071912
Arizona,04013071913
Arizona,04013071914
Arizona,04013071915
Arizona,04013082002
Arizona,04013082007
Arizona,04013082008
Arizona,04013082009
Arizona,04013082010
Arizona,04013082018
Arizona,04013082024
Arizona,04013082028
Arizona,04013082205
Arizona,04013082208
Arizona,04013082209
Arizona,04013082210
Arizona,04013083000
Arizona,04013092307
Arizona,04013092308
Arizona,04013092311
Arizona,04013092312
Arizona,04013092401
Arizona,04013092500
Arizona,04013092600
Arizona,04013092705
Arizona,04013092708
Arizona,04013092709
Arizona,04013092712
Arizona,04013092715
Arizona,04013092716
Arizona,04013092717
Arizona,04013092718
Arizona,04013092801
Arizona,04013092802
Arizona,04013092900
Arizona,04013093001
Arizona,04013093002
Arizona,04013093101
Arizona,04013093104
Arizona,04013093105
Arizona,04013093106
Arizona,04013093200
Arizona,04013103210
Arizona,04013103302
Arizona,04013103304
Arizona,04013103305
Arizona,04013103306
Arizona,04013103606
Arizona,04013103609
Arizona,04013103615
Arizona,04013103701
Arizona,04013103900
Arizona,04013104000
Arizona,04013104205
Arizona,04013104301
Arizona,04013104302
Arizona,04013104401
Arizona,04013104402
Arizona,04013104501
Arizona,04013104502
Arizona,04013104600
Arizona,04013104701
Arizona,04013104702
Arizona,04013105200
Arizona,04013105300
Arizona,04013105501
Arizona,04013105502
Arizona,04013105503
Arizona,04013105601
Arizona,04013105602
Arizona,04013105702
Arizona,04013105800
Arizona,04013105900
Arizona,04013106001
Arizona,04013106002
Arizona,04013106003
Arizona,04013106501
Arizona,04013106701
Arizona,04013106702
Arizona,04013106801
Arizona,04013106802
Arizona,04013106900
Arizona,04013107000
Arizona,04013107101
Arizona,04013107102
Arizona,04013107201
Arizona,04013107202
Arizona,04013107300
Arizona,04013107400
Arizona,04013107601
Arizona,04013107602
Arizona,04013108601
Arizona,04013108602
Arizona,04013108802
Arizona,04013108901
Arizona,04013108902
Arizona,04013109001
Arizona,04013109002
Arizona,04013109003
Arizona,04013109101
Arizona,04013109102
Arizona,04013109200
Arizona,04013109300
Arizona,04013109400
Arizona,04013109500
Arizona,04013109601
Arizona,04013109602
Arizona,04013109603
Arizona,04013109604
Arizona,04013109701
Arizona,04013109702
Arizona,04013109703
Arizona,04013109704
Arizona,04013109705
Arizona,04013109801
Arizona,04013109802
Arizona,04013109900
Arizona,04013110001
Arizona,04013110002
Arizona,04013110100
Arizona,04013110502
Arizona,04013110701
Arizona,04013110702
Arizona,04013110801
Arizona,04013110802
Arizona,04013110901
Arizona,04013110902
Arizona,04013111201
Arizona,04013111202
Arizona,04013111203
Arizona,04013111401
Arizona,04013111402
Arizona,04013111501
Arizona,04013111502
Arizona,04013111601
Arizona,04013111602
Arizona,04013111700
Arizona,04013112100
Arizona,04013112201
Arizona,04013112202
Arizona,04013112301
Arizona,04013112302
Arizona,04013112401
Arizona,04013112402
Arizona,04013112502
Arizona,04013112503
Arizona,04013112504
Arizona,04013112505
Arizona,04013112507
Arizona,04013112508
Arizona,04013112509
Arizona,04013112512
Arizona,04013112513
Arizona,04013112601
Arizona,04013112602
Arizona,04013112700
Arizona,04013112900
Arizona,04013113100
Arizona,04013113201
Arizona,04013113202
Arizona,04013113203
Arizona,04013113300
Arizona,04013113501
Arizona,04013113502
Arizona,04013113601
Arizona,04013113602
Arizona,04013113700
Arizona,04013113801
Arizona,04013113900
Arizona,04013114000
Arizona,04013114100
Arizona,04013114200
Arizona,04013114301
Arizona,04013114302
Arizona,04013114401
Arizona,04013114402
Arizona,04013114500
Arizona,04013114600
Arizona,04013114703
Arizona,04013114800
Arizona,04013114900
Arizona,04013115200
Arizona,04013115300
Arizona,04013115400
Arizona,04013115500
Arizona,04013115600
Arizona,04013115700
Arizona,04013115801
Arizona,04013115802
Arizona,04013115900
Arizona,04013116000
Arizona,04013116100
Arizona,04013116202
Arizona,04013116203
Arizona,04013116205
Arizona,04013116300
Arizona,04013116400
Arizona,04013116500
Arizona,04013116602
Arizona,04013116604
Arizona,04013116702
Arizona,04013116732
Arizona,04013116800
Arizona,04013116900
Arizona,04013117000
Arizona,04013117100
Arizona,04013117200
Arizona,04013117300
Arizona,04013216830
Arizona,04013217201
Arizona,04013217204
Arizona,04013217501
Arizona,04013217600
Arizona,04013218000
Arizona,04013218200
Arizona,04013318400
Arizona,04013318501
Arizona,04013318700
Arizona,04013318800
Arizona,04013318900
Arizona,04013319000
Arizona,04013319101
Arizona,04013319103
Arizona,04013319104
Arizona,04013319201
Arizona,04013319202
Arizona,04013319300
Arizona,04013319403
Arizona,04013319500
Arizona,04013319704
Arizona,04013319705
Arizona,04013319706
Arizona,04013319800
Arizona,04013320002
Arizona,04013320007
Arizona,04013320100
Arizona,04013420113
Arizona,04013420114
Arizona,04013420115
Arizona,04013420116
Arizona,04013420202
Arizona,04013420206
Arizona,04013420214
Arizona,04013420215
Arizona,04013420401
Arizona,04013420501
Arizona,04013420707
Arizona,04013420708
Arizona,04013420709
Arizona,04013420710
Arizona,04013420901
Arizona,04013420902
Arizona,04013421001
Arizona,04013421002
Arizona,04013421101
Arizona,04013421102
Arizona,04013421201
Arizona,04013421202
Arizona,04013421302
Arizona,04013421303
Arizona,04013421304
Arizona,04013421400
Arizona,04013421501
Arizona,04013421502
Arizona,04013421601
Arizona,04013421602
Arizona,04013421701
Arizona,04013421702
Arizona,04013421801
Arizona,04013421802
Arizona,04013421901
Arizona,04013421902
Arizona,04013422001
Arizona,04013422002
Arizona,04013422102
Arizona,04013422103
Arizona,04013422104
Arizona,04013422105
Arizona,04013422106
Arizona,04013422107
Arizona,04013422203
Arizona,04013422301
Arizona,04013422401
Arizona,04013422610
Arizona,04013422624
Arizona,04013422625
Arizona,04013422626
Arizona,04013422627
Arizona,04013422628
Arizona,04013422630
Arizona,04013422634
Arizona,04013422638
Arizona,04013522800
Arizona,04013522903
Arizona,04013522904
Arizona,04013523002
Arizona,04013523003
Arizona,04013523102
Arizona,04013523104
Arizona,04013614700
Arizona,04013615400
Arizona,04013618400
Arizona,04013618500
Arizona,04013618600
Arizona,04013618700
Arizona,04013618800
Arizona,04013619100
Arizona,04013619200
Arizona,04013619300
Arizona,04013619400
Arizona,04013723304
Arizona,04013723305
Arizona,04013723306
Arizona,04013812000
Arizona,04013813800
Arizona,04013817600
Arizona,04013940700
Arizona,04013941000
Arizona,04013941100
Arizona,04013941200
Arizona,04013941300
Arizona,04013980400
Arizona,04015940400
Arizona,04015950100
Arizona,04015950401
Arizona,04015950402
Arizona,04015950500
Arizona,04015950600
Arizona,04015950703
Arizona,04015950705
Arizona,04015950706
Arizona,04015951501
Arizona,04015951601
Arizona,04015951602
Arizona,04015951700
Arizona,04015951800
Arizona,04015951900
Arizona,04015952003
Arizona,04015952400
Arizona,04015952600
Arizona,04015952700
Arizona,04015952900
Arizona,04015953000
Arizona,04015953602
Arizona,04015953800
Arizona,04015954800
Arizona,04015954900
Arizona,04015955000
Arizona,04017940008
Arizona,04017940010
Arizona,04017940011
Arizona,04017940012
Arizona,04017940013
Arizona,04017940014
Arizona,04017940015
Arizona,04017940100
Arizona,04017940301
Arizona,04017940302
Arizona,04017942300
Arizona,04017942400
Arizona,04017942500
Arizona,04017960100
Arizona,04017960200
Arizona,04017960400
Arizona,04017960500
Arizona,04017960600
Arizona,04017961700
Arizona,04017963300
Arizona,04017964201
Arizona,04017964202
Arizona,04017965200
Arizona,04017965300
Arizona,04019000100
Arizona,04019000200
Arizona,04019000300
Arizona,04019000400
Arizona,04019000500
Arizona,04019000800
Arizona,04019000900
Arizona,04019001000
Arizona,04019001100
Arizona,04019001200
Arizona,04019001302
Arizona,04019001303
Arizona,04019001304
Arizona,04019001400
Arizona,04019001500
Arizona,04019001600
Arizona,04019001700
Arizona,04019001801
Arizona,04019001802
Arizona,04019001900
Arizona,04019002000
Arizona,04019002100
Arizona,04019002201
Arizona,04019002202
Arizona,04019002300
Arizona,04019002400
Arizona,04019002501
Arizona,04019002503
Arizona,04019002504
Arizona,04019002505
Arizona,04019002506
Arizona,04019002602
Arizona,04019002603
Arizona,04019002604
Arizona,04019002701
Arizona,04019002702
Arizona,04019002703
Arizona,04019002801
Arizona,04019002802
Arizona,04019002803
Arizona,04019002901
Arizona,04019002905
Arizona,04019003002
Arizona,04019003003
Arizona,04019003101
Arizona,04019003102
Arizona,04019003200
Arizona,04019003304
Arizona,04019003501
Arizona,04019003502
Arizona,04019003503
Arizona,04019003504
Arizona,04019003702
Arizona,04019003704
Arizona,04019003705
Arizona,04019003706
Arizona,04019003707
Arizona,04019003801
Arizona,04019003802
Arizona,04019003901
Arizona,04019003902
