year,BoroCode,BoroName,CT2020,BoroCT2020,NTAName,NTA2020,CDTA2020,GEOID,group,is_top_aff,count
2021,"3",Brooklyn,"045200","3045200",Mapleton-Midwood (West),BK1204,BK12,"36047045200",,,4
2021,"3",Brooklyn,"046800","3046800",Mapleton-Midwood (West),BK1204,BK12,"36047046800",,,1
2021,"3",Brooklyn,"042400","3042400",Gravesend (West),BK1103,BK11,"36047042400",,,3
2021,"3",Brooklyn,"042600","3042600",Gravesend (West),BK1103,BK11,"36047042600",,,3
2021,"3",Brooklyn,"042000","3042000",Gravesend (East)-Homecrest,BK1501,BK15,"36047042000",,,3
2021,"3",Brooklyn,"041200","3041200",Gravesend (West),BK1103,BK11,"36047041200",,,3
2021,"3",Brooklyn,"042200","3042200",Gravesend (East)-Homecrest,BK1501,BK15,"36047042200",,,3
2021,"3",Brooklyn,"045000","3045000",Mapleton-Midwood (West),BK1204,BK12,"36047045000",,,3
2018,"1",Manhattan,"016400","1016400",East Harlem (South),MN1101,MN11,"36061016400",,,1
2018,"1",Manhattan,"015200","1015200",Upper East Side-Yorkville,MN0803,MN08,"36061015200",,,2
2018,"1",Manhattan,"016200","1016200",East Harlem (South),MN1101,MN11,"36061016200",,,1
2018,"1",Manhattan,"017000","1017000",East Harlem (South),MN1101,MN11,"36061017000",,,1
2018,"1",Manhattan,"015002","1015002",Upper East Side-Carnegie Hill,MN0802,MN08,"36061015002",,,1
2018,"1",Manhattan,"015401","1015401",Upper East Side-Yorkville,MN0803,MN08,"36061015401",,,2
2018,"1",Manhattan,"015402","1015402",Upper East Side-Yorkville,MN0803,MN08,"36061015402",,,1
2018,"1",Manhattan,"015403","1015403",Upper East Side-Yorkville,MN0803,MN08,"36061015403",,,1
2018,"1",Manhattan,"015801","1015801",Upper East Side-Carnegie Hill,MN0802,MN08,"36061015801",,,1
