CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,hu_post,aff_units_post,is_oz,other_units_post,aff_share_post,group,is_top_aff
"120","1",Manhattan,"012000","1012000",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012000","4108",5693.86556537000,1862415.51129999990,2646,0,0,2646,"0",,
"122","1",Manhattan,"012200","1012200",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012200","4108",5683.16743346000,1857829.44402999990,2599,0,0,2599,"0",,
"126.01","1",Manhattan,"012601","1012601",I,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012601","4108",4209.37678480000,1015522.49459000002,5059,0,0,5059,"0",,
"126.02","1",Manhattan,"012602","1012602",I,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012602","4108",4127.74443944000,960965.25201000005,3539,0,0,3539,"0",,
"130","1",Manhattan,"013000","1013000",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013000","4108",5807.97295431000,1918144.60556999990,2831,0,0,2831,"0",,
"132.01","1",Manhattan,"013201","1013201",E,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013201","4108",4225.20832659000,839787.97446000006,1734,0,0,1734,"0",,
"132.02","1",Manhattan,"013202","1013202",I,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013202","4108",3431.47781008000,727876.70494500000,2510,0,0,2510,"0",,
"136.01","1",Manhattan,"013601","1013601",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013601","4108",3364.50474684000,400550.31630399998,1035,0,0,1035,"0",,
"136.02","1",Manhattan,"013602","1013602",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013602","4108",3118.99716083000,607002.75515700004,2847,0,0,2847,"0",,
"148.01","1",Manhattan,"014801","1014801",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061014801","4108",3135.95092545000,559215.97959000000,1649,0,0,1649,"0",,
"150.01","1",Manhattan,"015001","1015001",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015001","4108",3124.39323032000,556354.46036300005,1341,0,0,1341,"0",,
"150.02","1",Manhattan,"015002","1015002",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015002","4108",4689.90619170000,1352304.17042000010,2946,0,0,2946,"0",,
"154.01","1",Manhattan,"015401","1015401",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015401","4108",3966.36283272000,763019.68687600002,3631,0,0,3631,"0",,
"154.02","1",Manhattan,"015402","1015402",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015402","4108",3070.90779151000,590439.38438700000,2087,0,0,2087,"0",,
"154.03","1",Manhattan,"015403","1015403",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015403","4108",2991.22041188000,555763.32381900004,2948,0,0,2948,"0",,
"158.01","1",Manhattan,"015801","1015801",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015801","4108",4692.93188402000,1353075.80400000000,2951,0,0,2951,"0",,
"158.02","1",Manhattan,"015802","1015802",I,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061015802","4111",3116.91669601000,551587.64415399998,2373,0,0,2373,"0",,
"160.01","1",Manhattan,"016001","1016001",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061016001","4108",4702.17377716000,1352632.29777999991,1962,0,0,1962,"0",,
"165","1",Manhattan,"016500","1016500",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061016500","4107",6286.35561079000,2199114.59964000015,4014,107,0,3907,"0.02665670154459392",,
"166","1",Manhattan,"016600","1016600",E,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061016600","4111",5724.30052261000,1871913.98261999991,3345,291,0,3054,"0.08699551569506726",,
"169","1",Manhattan,"016900","1016900",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061016900","4107",5751.66165621000,1937087.87968000001,5258,72,0,5186,"0.013693419551160137",,
"173","1",Manhattan,"017300","1017300",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017300","4107",5735.89530142000,1921881.19268000009,5328,168,0,5160,"0.03153153153153153",,
"174.01","1",Manhattan,"017401","1017401",E,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017401","4111",4175.33030196000,1086203.70932999998,2285,0,0,2285,"0",,
"174.02","1",Manhattan,"017402","1017402",E,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017402","4111",3109.68354092000,547579.12672599999,1276,0,0,1276,"0",,
"177","1",Manhattan,"017700","1017700",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017700","4107",5688.50157024000,1878929.74707999988,5376,234,0,5142,"0.04352678571428571",,
"181","1",Manhattan,"018100","1018100",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018100","4107",5253.87795421000,1489902.89326999988,4875,0,0,4875,"0",,
"186","1",Manhattan,"018600","1018600",E,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061018600","4110",4621.74084584000,1311722.34247000003,2102,198,0,1904,"0.09419600380589914",,
"187","1",Manhattan,"018700","1018700",I,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018700","4107",6534.41136082000,2323892.25423000008,4221,0,0,4221,"0",,
"193","1",Manhattan,"019300","1019300",E,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061019300","4107",5716.00503994000,1892879.09789000009,4396,789,0,3607,"0.17948134667879892",,
"197.02","1",Manhattan,"019702","1019702",E,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061019702","4110",3204.62094558000,509562.31847100001,1265,0,0,1265,"0",,
