"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US36005023704","Census Tract 237.04; Bronx County; New York","1693","83",
"1400000US36005023800","Census Tract 238; Bronx County; New York","1836","145",
"1400000US36005023900","Census Tract 239; Bronx County; New York","1483","139",
"1400000US36005024000","Census Tract 240; Bronx County; New York","2346","326",
"1400000US36005024100","Census Tract 241; Bronx County; New York","1494","212",
"1400000US36005024300","Census Tract 243; Bronx County; New York","1208","182",
"1400000US36005024400","Census Tract 244; Bronx County; New York","1854","233",
"1400000US36005024501","Census Tract 245.01; Bronx County; New York","1325","95",
"1400000US36005024502","Census Tract 245.02; Bronx County; New York","1454","103",
"1400000US36005024600","Census Tract 246; Bronx County; New York","1891","178",
"1400000US36005024700","Census Tract 247; Bronx County; New York","1539","140",
"1400000US36005024800","Census Tract 248; Bronx County; New York","1723","292",
"1400000US36005024900","Census Tract 249; Bronx County; New York","-","**",
"1400000US36005025000","Census Tract 250; Bronx County; New York","1774","151",
"1400000US36005025100","Census Tract 251; Bronx County; New York","1412","295",
"1400000US36005025200","Census Tract 252; Bronx County; New York","2081","166",
"1400000US36005025300","Census Tract 253; Bronx County; New York","1500","134",
"1400000US36005025400","Census Tract 254; Bronx County; New York","1817","170",
"1400000US36005025500","Census Tract 255; Bronx County; New York","1671","160",
"1400000US36005025600","Census Tract 256; Bronx County; New York","1662","151",
"1400000US36005025700","Census Tract 257; Bronx County; New York","1654","89",
"1400000US36005026100","Census Tract 261; Bronx County; New York","1708","90",
"1400000US36005026300","Census Tract 263; Bronx County; New York","1536","141",
"1400000US36005026400","Census Tract 264; Bronx County; New York","2040","275",
"1400000US36005026500","Census Tract 265; Bronx County; New York","1841","242",
"1400000US36005026601","Census Tract 266.01; Bronx County; New York","1642","135",
"1400000US36005026602","Census Tract 266.02; Bronx County; New York","1596","221",
"1400000US36005026701","Census Tract 267.01; Bronx County; New York","1520","120",
"1400000US36005026702","Census Tract 267.02; Bronx County; New York","1549","135",
"1400000US36005026900","Census Tract 269; Bronx County; New York","1174","334",
"1400000US36005027300","Census Tract 273; Bronx County; New York","1460","126",
"1400000US36005027401","Census Tract 274.01; Bronx County; New York","2282","122",
"1400000US36005027402","Census Tract 274.02; Bronx County; New York","2134","295",
"1400000US36005027600","Census Tract 276; Bronx County; New York","1700","166",
"1400000US36005027700","Census Tract 277; Bronx County; New York","1389","86",
"1400000US36005027900","Census Tract 279; Bronx County; New York","1797","120",
"1400000US36005028100","Census Tract 281; Bronx County; New York","1428","107",
"1400000US36005028300","Census Tract 283; Bronx County; New York","1013","854",
"1400000US36005028400","Census Tract 284; Bronx County; New York","-","**",
"1400000US36005028500","Census Tract 285; Bronx County; New York","1661","196",
"1400000US36005028600","Census Tract 286; Bronx County; New York","2151","324",
"1400000US36005028700","Census Tract 287; Bronx County; New York","1658","133",
"1400000US36005028800","Census Tract 288; Bronx County; New York","1780","217",
"1400000US36005028900","Census Tract 289; Bronx County; New York","1611","156",
"1400000US36005029301","Census Tract 293.01; Bronx County; New York","1737","622",
"1400000US36005029302","Census Tract 293.02; Bronx County; New York","3035","377",
"1400000US36005029500","Census Tract 295; Bronx County; New York","1995","292",
"1400000US36005029600","Census Tract 296; Bronx County; New York","1622","145",
"1400000US36005029700","Census Tract 297; Bronx County; New York","2154","224",
"1400000US36005030000","Census Tract 300; Bronx County; New York","1978","220",
"1400000US36005030100","Census Tract 301; Bronx County; New York","1392","206",
"1400000US36005030201","Census Tract 302.01; Bronx County; New York","1249","119",
"1400000US36005030202","Census Tract 302.02; Bronx County; New York","1283","170",
"1400000US36005030701","Census Tract 307.01; Bronx County; New York","2570","356",
"1400000US36005030900","Census Tract 309; Bronx County; New York","2101","248",
"1400000US36005031000","Census Tract 310; Bronx County; New York","2557","280",
"1400000US36005031200","Census Tract 312; Bronx County; New York","2545","827",
"1400000US36005031400","Census Tract 314; Bronx County; New York","1780","77",
"1400000US36005031600","Census Tract 316; Bronx County; New York","1662","301",
"1400000US36005031800","Census Tract 318; Bronx County; New York","2283","757",
"1400000US36005031900","Census Tract 319; Bronx County; New York","-","**",
"1400000US36005032300","Census Tract 323; Bronx County; New York","1394","92",
"1400000US36005032400","Census Tract 324; Bronx County; New York","1039","232",
"1400000US36005032600","Census Tract 326; Bronx County; New York","2290","358",
"1400000US36005032800","Census Tract 328; Bronx County; New York","1405","204",
"1400000US36005033000","Census Tract 330; Bronx County; New York","1282","348",
"1400000US36005033201","Census Tract 332.01; Bronx County; New York","1478","167",
"1400000US36005033202","Census Tract 332.02; Bronx County; New York","1427","177",
"1400000US36005033400","Census Tract 334; Bronx County; New York","-","**",
"1400000US36005033500","Census Tract 335; Bronx County; New York","2042","554",
"1400000US36005033601","Census Tract 336.01; Bronx County; New York","847","534",
"1400000US36005033602","Census Tract 336.02; Bronx County; New York","1610","591",
"1400000US36005033700","Census Tract 337; Bronx County; New York","2136","187",
"1400000US36005033801","Census Tract 338.01; Bronx County; New York","1299","530",
"1400000US36005033802","Census Tract 338.02; Bronx County; New York","1664","87",
"1400000US36005034000","Census Tract 340; Bronx County; New York","1646","92",
"1400000US36005034200","Census Tract 342; Bronx County; New York","1965","768",
"1400000US36005034300","Census Tract 343; Bronx County; New York","1816","151",
"1400000US36005034400","Census Tract 344; Bronx County; New York","2185","620",
"1400000US36005034500","Census Tract 345; Bronx County; New York","1490","326",
"1400000US36005034800","Census Tract 348; Bronx County; New York","480","89",
"1400000US36005035000","Census Tract 350; Bronx County; New York","1911","738",
"1400000US36005035100","Census Tract 351; Bronx County; New York","1811","143",
"1400000US36005035600","Census Tract 356; Bronx County; New York","1955","312",
"1400000US36005035800","Census Tract 358; Bronx County; New York","1786","207",
"1400000US36005035900","Census Tract 359; Bronx County; New York","1190","162",
"1400000US36005036000","Census Tract 360; Bronx County; New York","1639","255",
"1400000US36005036100","Census Tract 361; Bronx County; New York","554","435",
"1400000US36005036300","Census Tract 363; Bronx County; New York","1467","191",
"1400000US36005036400","Census Tract 364; Bronx County; New York","1778","166",
"1400000US36005036501","Census Tract 365.01; Bronx County; New York","1345","99",
"1400000US36005036502","Census Tract 365.02; Bronx County; New York","1267","158",
"1400000US36005036700","Census Tract 367; Bronx County; New York","1666","202",
"1400000US36005036800","Census Tract 368; Bronx County; New York","1553","660",
"1400000US36005036901","Census Tract 369.01; Bronx County; New York","1153","388",
"1400000US36005036902","Census Tract 369.02; Bronx County; New York","841","171",
"1400000US36005037000","Census Tract 370; Bronx County; New York","1546","417",
"1400000US36005037100","Census Tract 371; Bronx County; New York","1361","181",
"1400000US36005037200","Census Tract 372; Bronx County; New York","1684","208",
