"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US36005029301","Census Tract 293.01, Bronx County, New York","1569","431",
"1400000US36005029302","Census Tract 293.02, Bronx County, New York","2089","158",
"1400000US36005029500","Census Tract 295, Bronx County, New York","1680","80",
"1400000US36005029600","Census Tract 296, Bronx County, New York","1384","37",
"1400000US36005029700","Census Tract 297, Bronx County, New York","1619","98",
"1400000US36005030000","Census Tract 300, Bronx County, New York","1422","81",
"1400000US36005030100","Census Tract 301, Bronx County, New York","400","177",
"1400000US36005030200","Census Tract 302, Bronx County, New York","1194","153",
"1400000US36005030701","Census Tract 307.01, Bronx County, New York","1915","178",
"1400000US36005030900","Census Tract 309, Bronx County, New York","1726","87",
"1400000US36005031000","Census Tract 310, Bronx County, New York","1468","233",
"1400000US36005031200","Census Tract 312, Bronx County, New York","1565","437",
"1400000US36005031400","Census Tract 314, Bronx County, New York","1767","535",
"1400000US36005031600","Census Tract 316, Bronx County, New York","1610","149",
"1400000US36005031800","Census Tract 318, Bronx County, New York","1621","236",
"1400000US36005031900","Census Tract 319, Bronx County, New York","-","**",
"1400000US36005032300","Census Tract 323, Bronx County, New York","1357","109",
"1400000US36005032400","Census Tract 324, Bronx County, New York","629","177",
"1400000US36005032600","Census Tract 326, Bronx County, New York","1698","190",
"1400000US36005032800","Census Tract 328, Bronx County, New York","881","161",
"1400000US36005033000","Census Tract 330, Bronx County, New York","1206","86",
"1400000US36005033201","Census Tract 332.01, Bronx County, New York","1343","47",
"1400000US36005033202","Census Tract 332.02, Bronx County, New York","1303","45",
"1400000US36005033400","Census Tract 334, Bronx County, New York","-","**",
"1400000US36005033500","Census Tract 335, Bronx County, New York","1544","157",
"1400000US36005033600","Census Tract 336, Bronx County, New York","1073","76",
"1400000US36005033700","Census Tract 337, Bronx County, New York","1683","465",
"1400000US36005033800","Census Tract 338, Bronx County, New York","1389","115",
"1400000US36005034000","Census Tract 340, Bronx County, New York","1308","89",
"1400000US36005034200","Census Tract 342, Bronx County, New York","1591","128",
"1400000US36005034300","Census Tract 343, Bronx County, New York","1559","149",
"1400000US36005034400","Census Tract 344, Bronx County, New York","1634","190",
"1400000US36005034500","Census Tract 345, Bronx County, New York","1494","130",
"1400000US36005034800","Census Tract 348, Bronx County, New York","861","336",
"1400000US36005035000","Census Tract 350, Bronx County, New York","1419","157",
"1400000US36005035100","Census Tract 351, Bronx County, New York","1530","199",
"1400000US36005035600","Census Tract 356, Bronx County, New York","1470","160",
"1400000US36005035800","Census Tract 358, Bronx County, New York","1431","144",
"1400000US36005035900","Census Tract 359, Bronx County, New York","998","76",
"1400000US36005036000","Census Tract 360, Bronx County, New York","1352","264",
"1400000US36005036100","Census Tract 361, Bronx County, New York","677","357",
"1400000US36005036300","Census Tract 363, Bronx County, New York","945","226",
"1400000US36005036400","Census Tract 364, Bronx County, New York","1352","155",
"1400000US36005036501","Census Tract 365.01, Bronx County, New York","1051","103",
"1400000US36005036502","Census Tract 365.02, Bronx County, New York","1168","161",
"1400000US36005036700","Census Tract 367, Bronx County, New York","1299","146",
"1400000US36005036800","Census Tract 368, Bronx County, New York","1479","196",
"1400000US36005036901","Census Tract 369.01, Bronx County, New York","1018","94",
"1400000US36005036902","Census Tract 369.02, Bronx County, New York","948","108",
"1400000US36005037000","Census Tract 370, Bronx County, New York","1646","119",
"1400000US36005037100","Census Tract 371, Bronx County, New York","795","196",
"1400000US36005037200","Census Tract 372, Bronx County, New York","1383","78",
"1400000US36005037300","Census Tract 373, Bronx County, New York","1146","122",
"1400000US36005037400","Census Tract 374, Bronx County, New York","952","142",
"1400000US36005037504","Census Tract 375.04, Bronx County, New York","891","138",
"1400000US36005037600","Census Tract 376, Bronx County, New York","1350","91",
"1400000US36005037800","Census Tract 378, Bronx County, New York","1228","100",
"1400000US36005037900","Census Tract 379, Bronx County, New York","1215","81",
"1400000US36005038000","Census Tract 380, Bronx County, New York","1364","90",
"1400000US36005038100","Census Tract 381, Bronx County, New York","1335","50",
"1400000US36005038200","Census Tract 382, Bronx County, New York","1467","140",
"1400000US36005038301","Census Tract 383.01, Bronx County, New York","1249","58",
"1400000US36005038302","Census Tract 383.02, Bronx County, New York","1123","56",
"1400000US36005038500","Census Tract 385, Bronx County, New York","1034","77",
"1400000US36005038600","Census Tract 386, Bronx County, New York","1390","79",
"1400000US36005038700","Census Tract 387, Bronx County, New York","1270","121",
"1400000US36005038800","Census Tract 388, Bronx County, New York","1513","357",
"1400000US36005038900","Census Tract 389, Bronx County, New York","1267","72",
"1400000US36005039000","Census Tract 390, Bronx County, New York","1383","141",
"1400000US36005039100","Census Tract 391, Bronx County, New York","1261","106",
"1400000US36005039200","Census Tract 392, Bronx County, New York","1378","69",
"1400000US36005039300","Census Tract 393, Bronx County, New York","967","76",
"1400000US36005039400","Census Tract 394, Bronx County, New York","1309","94",
"1400000US36005039500","Census Tract 395, Bronx County, New York","1061","71",
"1400000US36005039600","Census Tract 396, Bronx County, New York","1430","99",
"1400000US36005039700","Census Tract 397, Bronx County, New York","1115","98",
"1400000US36005039800","Census Tract 398, Bronx County, New York","1602","144",
"1400000US36005039901","Census Tract 399.01, Bronx County, New York","1199","64",
"1400000US36005039902","Census Tract 399.02, Bronx County, New York","1202","81",
"1400000US36005040100","Census Tract 401, Bronx County, New York","1344","121",
"1400000US36005040302","Census Tract 403.02, Bronx County, New York","1253","92",
"1400000US36005040303","Census Tract 403.03, Bronx County, New York","1243","69",
"1400000US36005040304","Census Tract 403.04, Bronx County, New York","1387","65",
"1400000US36005040400","Census Tract 404, Bronx County, New York","1304","139",
"1400000US36005040501","Census Tract 405.01, Bronx County, New York","1182","57",
"1400000US36005040502","Census Tract 405.02, Bronx County, New York","1195","89",
"1400000US36005040600","Census Tract 406, Bronx County, New York","1425","135",
"1400000US36005040701","Census Tract 407.01, Bronx County, New York","1294","73",
"1400000US36005040702","Census Tract 407.02, Bronx County, New York","1199","85",
"1400000US36005040800","Census Tract 408, Bronx County, New York","1306","52",
"1400000US36005040900","Census Tract 409, Bronx County, New York","1204","51",
"1400000US36005041100","Census Tract 411, Bronx County, New York","1343","86",
"1400000US36005041300","Census Tract 413, Bronx County, New York","1313","50",
"1400000US36005041400","Census Tract 414, Bronx County, New York","1370","77",
"1400000US36005041500","Census Tract 415, Bronx County, New York","1331","51",
"1400000US36005041800","Census Tract 418, Bronx County, New York","1406","79",
"1400000US36005041900","Census Tract 419, Bronx County, New York","1304","57",
"1400000US36005042000","Census Tract 420, Bronx County, New York","1237","77",
"1400000US36005042100","Census Tract 421, Bronx County, New York","1185","96",
"1400000US36005042200","Census Tract 422, Bronx County, New York","1231","134",
"1400000US36005042300","Census Tract 423, Bronx County, New York","1311","54",
"1400000US36005042400","Census Tract 424, Bronx County, New York","1263","157",
"1400000US36005042500","Census Tract 425, Bronx County, New York","1342","59",
"1400000US36005042600","Census Tract 426, Bronx County, New York","1625","190",
"1400000US36005042800","Census Tract 428, Bronx County, New York","1502","293",
"1400000US36005042901","Census Tract 429.01, Bronx County, New York","1340","66",
"1400000US36005042902","Census Tract 429.02, Bronx County, New York","1354","50",
"1400000US36005043000","Census Tract 430, Bronx County, New York","1196","298",
"1400000US36005043100","Census Tract 431, Bronx County, New York","1317","49",
"1400000US36005043400","Census Tract 434, Bronx County, New York","1344","57",
"1400000US36005043500","Census Tract 435, Bronx County, New York","970","430",
"1400000US36005043600","Census Tract 436, Bronx County, New York","1309","113",
"1400000US36005044200","Census Tract 442, Bronx County, New York","1390","179",
"1400000US36005044400","Census Tract 444, Bronx County, New York","1569","141",
"1400000US36005044800","Census Tract 448, Bronx County, New York","1596","344",
"1400000US36005044901","Census Tract 449.01, Bronx County, New York","1331","81",
"1400000US36005044902","Census Tract 449.02, Bronx County, New York","1261","129",
"1400000US36005045101","Census Tract 451.01, Bronx County, New York","1476","119",
"1400000US36005045102","Census Tract 451.02, Bronx County, New York","1472","171",
"1400000US36005045600","Census Tract 456, Bronx County, New York","1448","296",
"1400000US36005045800","Census Tract 458, Bronx County, New York","553","198",
"1400000US36005046000","Census Tract 460, Bronx County, New York","799","488",
"1400000US36005046201","Census Tract 462.01, Bronx County, New York","994","78",
"1400000US36005046202","Census Tract 462.02, Bronx County, New York","1162","152",
"1400000US36005048400","Census Tract 484, Bronx County, New York","1348","153",
"1400000US36005050400","Census Tract 504, Bronx County, New York","900","848",
"1400000US36005051600","Census Tract 516, Bronx County, New York","1170","223",
"1400000US36047000100","Census Tract 1, Kings County, New York","1914","487",
"1400000US36047000200","Census Tract 2, Kings County, New York","1241","177",
"1400000US36047000301","Census Tract 3.01, Kings County, New York","2223","330",
"1400000US36047000501","Census Tract 5.01, Kings County, New York","1909","247",
"1400000US36047000502","Census Tract 5.02, Kings County, New York","2239","181",
"1400000US36047000700","Census Tract 7, Kings County, New York","2358","202",
"1400000US36047000900","Census Tract 9, Kings County, New York","3057","255",
"1400000US36047001100","Census Tract 11, Kings County, New York","3042","149",
"1400000US36047001300","Census Tract 13, Kings County, New York","2266","138",
"1400000US36047001500","Census Tract 15, Kings County, New York","2688","124",
"1400000US36047001800","Census Tract 18, Kings County, New York","-","**",
"1400000US36047002000","Census Tract 20, Kings County, New York","1321","233",
"1400000US36047002100","Census Tract 21, Kings County, New York","3439","227",
"1400000US36047002200","Census Tract 22, Kings County, New York","1300","100",
"1400000US36047002300","Census Tract 23, Kings County, New York","459","50",
"1400000US36047002901","Census Tract 29.01, Kings County, New York","673","80",
"1400000US36047003000","Census Tract 30, Kings County, New York","1548","140",
"1400000US36047003100","Census Tract 31, Kings County, New York","2675","231",
"1400000US36047003300","Census Tract 33, Kings County, New York","2728","143",
"1400000US36047003400","Census Tract 34, Kings County, New York","1401","94",
"1400000US36047003500","Census Tract 35, Kings County, New York","1442","320",
"1400000US36047003600","Census Tract 36, Kings County, New York","1450","80",
"1400000US36047003700","Census Tract 37, Kings County, New York","2866","198",
"1400000US36047003800","Census Tract 38, Kings County, New York","1405","235",
"1400000US36047003900","Census Tract 39, Kings County, New York","1685","190",
"1400000US36047004100","Census Tract 41, Kings County, New York","2320","272",
"1400000US36047004300","Census Tract 43, Kings County, New York","2249","193",
"1400000US36047004400","Census Tract 44, Kings County, New York","1410","84",
"1400000US36047004500","Census Tract 45, Kings County, New York","2441","163",
"1400000US36047004600","Census Tract 46, Kings County, New York","1240","243",
"1400000US36047004700","Census Tract 47, Kings County, New York","1710","447",
"1400000US36047004900","Census Tract 49, Kings County, New York","2544","291",
"1400000US36047005000","Census Tract 50, Kings County, New York","1759","134",
"1400000US36047005100","Census Tract 51, Kings County, New York","2756","267",
"1400000US36047005201","Census Tract 52.01, Kings County, New York","417","202",
"1400000US36047005202","Census Tract 52.02, Kings County, New York","1739","95",
"1400000US36047005300","Census Tract 53, Kings County, New York","1835","188",
"1400000US36047005400","Census Tract 54, Kings County, New York","1493","80",
"1400000US36047005601","Census Tract 56.01, Kings County, New York","1654","93",
"1400000US36047005602","Census Tract 56.02, Kings County, New York","1383","60",
"1400000US36047005800","Census Tract 58, Kings County, New York","1427","45",
"1400000US36047005900","Census Tract 59, Kings County, New York","1825","130",
"1400000US36047006000","Census Tract 60, Kings County, New York","1615","185",
"1400000US36047006200","Census Tract 62, Kings County, New York","1497","143",
"1400000US36047006300","Census Tract 63, Kings County, New York","2525","223",
"1400000US36047006400","Census Tract 64, Kings County, New York","1417","79",
"1400000US36047006500","Census Tract 65, Kings County, New York","2357","177",
"1400000US36047006600","Census Tract 66, Kings County, New York","1517","92",
"1400000US36047006700","Census Tract 67, Kings County, New York","2413","181",
"1400000US36047006800","Census Tract 68, Kings County, New York","1396","56",
"1400000US36047006900","Census Tract 69, Kings County, New York","2434","150",
"1400000US36047007000","Census Tract 70, Kings County, New York","1435","268",
"1400000US36047007100","Census Tract 71, Kings County, New York","655","91",
"1400000US36047007200","Census Tract 72, Kings County, New York","1347","128",
"1400000US36047007400","Census Tract 74, Kings County, New York","1557","131",
"1400000US36047007500","Census Tract 75, Kings County, New York","2246","167",
"1400000US36047007600","Census Tract 76, Kings County, New York","1465","104",
"1400000US36047007700","Census Tract 77, Kings County, New York","2233","420",
"1400000US36047007800","Census Tract 78, Kings County, New York","1450","144",
"1400000US36047008000","Census Tract 80, Kings County, New York","1615","173",
"1400000US36047008200","Census Tract 82, Kings County, New York","1351","136",
"1400000US36047008400","Census Tract 84, Kings County, New York","1327","204",
"1400000US36047008500","Census Tract 85, Kings County, New York","421","37",
"1400000US36047008600","Census Tract 86, Kings County, New York","-","**",
"1400000US36047008800","Census Tract 88, Kings County, New York","1482","194",
"1400000US36047009000","Census Tract 90, Kings County, New York","1419","91",
"1400000US36047009200","Census Tract 92, Kings County, New York","1278","110",
"1400000US36047009400","Census Tract 94, Kings County, New York","1318","95",
"1400000US36047009600","Census Tract 96, Kings County, New York","1464","114",
"1400000US36047009800","Census Tract 98, Kings County, New York","1375","205",
"1400000US36047010000","Census Tract 100, Kings County, New York","1277","115",
"1400000US36047010100","Census Tract 101, Kings County, New York","1491","122",
"1400000US36047010200","Census Tract 102, Kings County, New York","1291","133",
"1400000US36047010400","Census Tract 104, Kings County, New York","1289","82",
"1400000US36047010600","Census Tract 106, Kings County, New York","1413","142",
