CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID
"764","3",Brooklyn,"076400","3076400",E,Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047076400"
"766","3",Brooklyn,"076600","3076600",E,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047076600"
"768","3",Brooklyn,"076800","3076800",E,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047076800"
"770","3",Brooklyn,"077000","3077000",I,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047077000"
"772","3",Brooklyn,"077200","3077200",I,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047077200"
"774","3",Brooklyn,"077400","3077400",E,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047077400"
"776","3",Brooklyn,"077600","3077600",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047077600"
"780","3",Brooklyn,"078000","3078000",I,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047078000"
"782","3",Brooklyn,"078200","3078200",E,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047078200"
"784","3",Brooklyn,"078400","3078400",I,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047078400"
"786.01","3",Brooklyn,"078601","3078601",E,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047078601"
"786.02","3",Brooklyn,"078602","3078602",E,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047078602"
"788.01","3",Brooklyn,"078801","3078801",E,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047078801"
"788.02","3",Brooklyn,"078802","3078802",E,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047078802"
"790.01","3",Brooklyn,"079001","3079001",E,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047079001"
"790.02","3",Brooklyn,"079002","3079002",E,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047079002"
